Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
30	16:15:15	16:15:15	16:15:15	16:15:15	16:15:15	16:15:15	16:15:15	16:15:15	16:15:15	16:15:15	16:15:15	16:15:15	16:15:19	16:15:19	16:15:19	16:15:19	16:15:19	16:15:19	16:15:19	16:15:19	16:15:19	16:15:19		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00	00:00:00	00:00:00	00:00:04
31	16:15:19	16:15:19	16:15:19	16:15:19	16:15:19	16:15:19			16:15:19	16:15:19	16:15:19	16:15:19	16:15:24	16:15:24	16:15:24	16:15:24	16:15:24	16:15:24			16:15:24	16:15:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
32	16:15:24	16:15:24	16:15:24	16:15:24	16:15:24	16:15:24			16:15:24	16:15:24	16:15:24	16:15:24	16:15:28	16:15:28	16:15:28	16:15:28	16:15:28	16:15:28			16:15:28	16:15:28		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
33	16:15:28	16:15:28	16:15:28	16:15:28	16:15:28	16:15:28			16:15:28	16:15:28	16:15:28	16:15:28	16:15:33	16:15:33	16:15:33	16:15:33	16:15:33	16:15:33			16:15:33	16:15:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
34	16:15:33	16:15:33	16:15:33	16:15:33	16:15:33	16:15:33			16:15:33	16:15:33	16:15:33	16:15:33	16:15:37	16:15:37	16:15:37	16:15:37	16:15:37	16:15:37			16:15:37	16:15:37		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
35	16:15:37	16:15:37	16:15:37	16:15:37	16:15:37	16:15:37			16:15:37	16:15:37	16:15:37	16:15:37	16:15:41	16:15:41	16:15:41	16:15:41	16:15:41	16:15:41			16:15:42	16:15:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
36	16:15:42	16:15:42	16:15:42	16:15:42	16:15:42	16:15:42			16:15:42	16:15:42	16:15:42	16:15:42	16:15:46	16:15:46	16:15:46	16:15:46	16:15:46	16:15:46			16:15:46	16:15:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
37	16:15:46	16:15:46	16:15:46	16:15:46	16:15:46	16:15:46			16:15:46	16:15:46	16:15:46	16:15:46	16:15:50	16:15:50	16:15:50	16:15:50	16:15:50	16:15:50			16:15:51	16:15:51		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
38	16:15:51	16:15:51	16:15:51	16:15:51	16:15:51	16:15:51			16:15:51	16:15:51	16:15:51	16:15:51	16:15:55	16:15:55	16:15:55	16:15:55	16:15:55	16:15:55			16:15:55	16:15:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
39	16:15:55	16:15:55	16:15:55	16:15:55	16:15:55	16:15:55			16:15:55	16:15:55	16:15:55	16:15:55	16:15:59	16:15:59	16:15:59	16:15:59	16:15:59	16:15:59			16:15:59	16:15:59		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
40	16:15:59	16:15:59	16:15:59	16:15:59	16:15:59	16:15:59	16:15:59	16:16:00	16:16:00	16:16:00	16:16:00	16:16:00	16:16:03	16:16:03	16:16:03	16:16:03	16:16:03	16:16:03	16:16:03	16:16:03	16:16:04	16:16:04		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00	00:00:00	00:00:00	00:00:04
41	16:16:04	16:16:04	16:16:04	16:16:04	16:16:04	16:16:04			16:16:04	16:16:04	16:16:04	16:16:04	16:16:08	16:16:08	16:16:08	16:16:08	16:16:08	16:16:08			16:16:08	16:16:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
42	16:16:08	16:16:08	16:16:08	16:16:08	16:16:08	16:16:08			16:16:08	16:16:08	16:16:08	16:16:08	16:16:13	16:16:13	16:16:13	16:16:13	16:16:13	16:16:13			16:16:13	16:16:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
43	16:16:14	16:16:14	16:16:14	16:16:14	16:16:14	16:16:14			16:16:14	16:16:14	16:16:14	16:16:14	16:16:19	16:16:19	16:16:19	16:16:19	16:16:19	16:16:19			16:16:19	16:16:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:05
44	16:16:19	16:16:19	16:16:19	16:16:19	16:16:19	16:16:19			16:16:19	16:16:19	16:16:19	16:16:19	16:16:23	16:16:23	16:16:23	16:16:23	16:16:23	16:16:23			16:16:24	16:16:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
45	16:16:24	16:16:24	16:16:24	16:16:24	16:16:24	16:16:24			16:16:24	16:16:24	16:16:24	16:16:24	16:16:28	16:16:28	16:16:28	16:16:28	16:16:28	16:16:28			16:16:28	16:16:28		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
46	16:16:28	16:16:28	16:16:28	16:16:28	16:16:28	16:16:28			16:16:28	16:16:28	16:16:28	16:16:28	16:16:32	16:16:32	16:16:32	16:16:32	16:16:32	16:16:32			16:16:32	16:16:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
