VehicleId	VehicleType	CarrierId	DriverID	serviceTime	roadTime	travelDistance	vehicleCost	legCount
freight_aldi_DISCOUNTER_TROCKEN_veh_heavy26t_electro_112787_11	org.matsim.vehicles.VehicleType@e8e0dec	-1	freight_aldi_DISCOUNTER_TROCKEN_veh_heavy26t_electro_112787_11	72154.0	32590.0	71585.55769401458	-108.14939846030951	9
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_6	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_6	53428.0	22515.0	72602.0452722367	-61.680129667601314	21
freight_aldi_DISCOUNTER_TROCKEN_veh_heavy26t_electro_112787_14	org.matsim.vehicles.VehicleType@e8e0dec	-1	freight_aldi_DISCOUNTER_TROCKEN_veh_heavy26t_electro_112787_14	55340.0	19154.0	76899.14922936974	-38.48721255485374	9
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_3	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_3	32512.0	12449.0	55347.54124190419	-23.917247367924173	11
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_2	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_2	68502.0	29886.0	111047.38385802855	-72.03965281512087	21
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_1	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_1	33276.0	12261.0	50148.906120564585	-26.47913289922171	11
freight_aldi_DISCOUNTER_TROCKEN_veh_heavy26t_electro_112787_13	org.matsim.vehicles.VehicleType@e8e0dec	-1	freight_aldi_DISCOUNTER_TROCKEN_veh_heavy26t_electro_112787_13	76350.0	34348.0	84148.61585255527	-107.7181965861602	9
freight_edeka_DISCOUNTER_TIEFKUEHL_veh_light8t_frozen_19384_1	org.matsim.vehicles.VehicleType@42714a7	-1	freight_edeka_DISCOUNTER_TIEFKUEHL_veh_light8t_frozen_19384_1	43660.0	17603.0	91021.21888326887	-49.846212446692384	39
freight_edeka_DISCOUNTER_TIEFKUEHL_veh_light8t_frozen_19384_0	org.matsim.vehicles.VehicleType@42714a7	-1	freight_edeka_DISCOUNTER_TIEFKUEHL_veh_light8t_frozen_19384_0	55924.0	23674.0	148246.70676569286	-56.703917293722846	43
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_9	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_9	36298.0	13953.0	67681.54078342833	-23.023067675103064	11
freight_aldi_DISCOUNTER_TROCKEN_veh_heavy26t_112787_8	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_aldi_DISCOUNTER_TROCKEN_veh_heavy26t_112787_8	68338.0	29768.0	85594.86981805845	-88.51463722190078	11
freight_netto_SUPERMARKT_TIEFKUEHL_veh_heavy26t_frozen_35300_0	org.matsim.vehicles.VehicleType@3ce53f6a	-1	freight_netto_SUPERMARKT_TIEFKUEHL_veh_heavy26t_frozen_35300_0	70396.0	29115.0	184056.9305679461	-19.34535651947625	35
freight_aldi_DISCOUNTER_FRISCHE_veh_heavy26t_electro_112787_0	org.matsim.vehicles.VehicleType@e8e0dec	-1	freight_aldi_DISCOUNTER_FRISCHE_veh_heavy26t_electro_112787_0	29228.0	9497.0	30087.86371986824	-24.87203812169487	13
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_14	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_14	59778.0	25518.0	121556.73301846877	-43.595188877625915	19
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_12	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_12	39596.0	15795.0	77967.06548350342	-25.15756612605266	11
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_18	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_18	58680.0	25346.0	107207.3316989992	-52.36648776167057	21
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_16	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_16	34808.0	13036.0	70171.11845096122	-16.861750637856023	11
freight_aldi_DISCOUNTER_FRISCHE_veh_heavy26t_electro_112787_9	org.matsim.vehicles.VehicleType@e8e0dec	-1	freight_aldi_DISCOUNTER_FRISCHE_veh_heavy26t_electro_112787_9	54174.0	22704.0	66734.20748425045	-63.20097061133979	23
freight_aldi_DISCOUNTER_FRISCHE_veh_heavy26t_electro_112787_3	org.matsim.vehicles.VehicleType@e8e0dec	-1	freight_aldi_DISCOUNTER_FRISCHE_veh_heavy26t_electro_112787_3	53720.0	22638.0	68998.48176722674	-61.24729312759671	23
freight_kaiser_SUPERMARKT_TROCKEN_veh_heavy26t_112414_13	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_kaiser_SUPERMARKT_TROCKEN_veh_heavy26t_112414_13	58052.0	25217.0	74425.47412859024	-73.69823233384454	7
freight_kaiser_SUPERMARKT_TROCKEN_veh_heavy26t_112414_14	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_kaiser_SUPERMARKT_TROCKEN_veh_heavy26t_112414_14	67748.0	29704.0	75393.07357809907	-95.03624070267342	9
freight_aldi_DISCOUNTER_FRISCHE_veh_heavy26t_electro_112787_5	org.matsim.vehicles.VehicleType@e8e0dec	-1	freight_aldi_DISCOUNTER_FRISCHE_veh_heavy26t_electro_112787_5	33100.0	12167.0	44961.44859733698	-27.24605700991739	15
freight_aldi_DISCOUNTER_FRISCHE_veh_heavy26t_electro_124602_6	org.matsim.vehicles.VehicleType@e8e0dec	-1	freight_aldi_DISCOUNTER_FRISCHE_veh_heavy26t_electro_124602_6	29760.0	10866.0	46233.119200113826	-19.955554175918056	11
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_electro_159381_4	org.matsim.vehicles.VehicleType@e8e0dec	-1	freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_electro_159381_4	60942.0	26308.0	115851.45917922695	-45.49614939095648	5
freight_rewe_SUPERMARKT_TIEFKUEHL_veh_heavy26t_frozen_160444_1	org.matsim.vehicles.VehicleType@3ce53f6a	-1	freight_rewe_SUPERMARKT_TIEFKUEHL_veh_heavy26t_frozen_160444_1	71476.0	28135.0	145755.447283097	-40.20535032032496	57
freight_kaiser_SUPERMARKT_TROCKEN_veh_heavy26t_112414_12	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_kaiser_SUPERMARKT_TROCKEN_veh_heavy26t_112414_12	72800.0	32585.0	71169.6946770392	-111.98280456638376	11
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_electro_159381_3	org.matsim.vehicles.VehicleType@e8e0dec	-1	freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_electro_159381_3	68848.0	30258.0	133518.2761119296	-52.13104119941069	5
freight_kaufland_VERBRAUCHERMARKT_FRISCHE_veh_heavy26t_49046_5	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_kaufland_VERBRAUCHERMARKT_FRISCHE_veh_heavy26t_49046_5	63048.0	27363.0	389214.46840099414	126.69499382866617	9
freight_kaufland_VERBRAUCHERMARKT_FRISCHE_veh_heavy26t_49046_2	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_kaufland_VERBRAUCHERMARKT_FRISCHE_veh_heavy26t_49046_2	40666.0	15984.0	202194.7619160458	57.14889048375057	7
freight_kaufland_VERBRAUCHERMARKT_FRISCHE_veh_heavy26t_49046_1	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_kaufland_VERBRAUCHERMARKT_FRISCHE_veh_heavy26t_49046_1	43178.0	17247.0	199668.70959208536	49.26773542669709	5
freight_kaufland_VERBRAUCHERMARKT_FRISCHE_veh_heavy26t_49046_4	org.matsim.vehicles.VehicleType@75fa1be3	-1	freight_kaufland_VERBRAUCHERMARKT_FRISCHE_veh_heavy26t_49046_4	43614.0	17470.0	220792.3313704382	62.32786201819327	5
