VehicleType  travelTime  travelDistance  emptyTimeShare   emptyDistanceShare
defaultVehicleType  -42014.0   23000.0   -0.0   0.0
defaultVehicleType  -48434.0   27000.0   -0.0   0.0
defaultVehicleType  -44598.0   23000.0   -0.0   0.0
defaultVehicleType  -47126.0   27000.0   -0.0   0.0
defaultVehicleType  -47244.0   23000.0   -0.0   0.0
defaultVehicleType  -47426.0   23000.0   -0.0   0.0
defaultVehicleType  -47016.0   23000.0   -0.0   0.0
defaultVehicleType  -48153.0   23000.0   -0.0   0.0
defaultVehicleType  -46418.0   31000.0   -0.0   0.0
defaultVehicleType  -47714.0   23000.0   -0.0   0.0
defaultVehicleType  -47858.0   31000.0   -0.0   0.0
defaultVehicleType  -44526.0   23000.0   -0.0   0.0
defaultVehicleType  -47460.0   31000.0   -0.0   0.0
defaultVehicleType  -37640.0   19000.0   -0.0   0.0
defaultVehicleType  -46020.0   23000.0   -0.0   0.0
defaultVehicleType  -39080.0   19000.0   -0.0   0.0
defaultVehicleType  -44124.0   23000.0   -0.0   0.0
heavy  -27720.0   39000.0   -0.0   0.0
defaultVehicleType  -38000.0   19000.0   -0.0   0.0
defaultVehicleType  -46020.0   23000.0   -0.0   0.0
heavy  -31058.0   43000.0   -0.0   0.0
defaultVehicleType  -37640.0   19000.0   -0.0   0.0
defaultVehicleType  -45300.0   23000.0   -0.0   0.0
defaultVehicleType  -34348.0   19000.0   -0.0   0.0
defaultVehicleType  -47460.0   23000.0   -0.0   0.0
defaultVehicleType  -39800.0   23000.0   -0.0   0.0
defaultVehicleType  -37110.0   19000.0   -0.0   0.0
defaultVehicleType  -37280.0   19000.0   -0.0   0.0
defaultVehicleType  -35981.0   27000.0   -0.0   0.0
defaultVehicleType  -38720.0   19000.0   -0.0   0.0
defaultVehicleType  -36750.0   27000.0   -0.0   0.0
defaultVehicleType  -37592.0   19000.0   -0.0   0.0
defaultVehicleType  -38932.0   19000.0   -0.0   0.0
defaultVehicleType  -41895.0   19000.0   -0.0   0.0
defaultVehicleType  -35670.0   19000.0   -0.0   0.0
defaultVehicleType  -39375.0   19000.0   -0.0   0.0
heavy  -28490.0   23000.0   -0.0   0.0
