VehicleId	VehicleType	CarrierId	DriverID	travelTime	travelDistance	cost
freight_12_veh_carrier_12_heavyVehicle_3	heavy	1	freight_12_veh_carrier_12_heavyVehicle_3	-17908.0	27000.0	-1392.658
freight_22_veh_carrier_22_heavyVehicle_1	heavy	2	freight_22_veh_carrier_22_heavyVehicle_1	-29386.0	39000.0	-4446.838000000001
freight_12_veh_carrier_12_heavyVehicle_4	heavy	1	freight_12_veh_carrier_12_heavyVehicle_4	-26882.0	31000.0	-2754.926
freight_22_veh_carrier_22_heavyVehicle_2	heavy	2	freight_22_veh_carrier_22_heavyVehicle_2	-24037.0	31000.0	-2632.1099999999997
freight_12_veh_carrier_12_heavyVehicle_1	heavy	1	freight_12_veh_carrier_12_heavyVehicle_1	-26447.0	31000.0	-2660.3740000000003
freight_22_veh_carrier_22_heavyVehicle_3	heavy	2	freight_22_veh_carrier_22_heavyVehicle_3	-31344.0	43000.0	-5844.322000000002
freight_12_veh_carrier_12_heavyVehicle_2	heavy	1	freight_12_veh_carrier_12_heavyVehicle_2	-29678.0	43000.0	-5307.650000000001
freight_22_veh_carrier_22_heavyVehicle_4	heavy	2	freight_22_veh_carrier_22_heavyVehicle_4	-24554.0	31000.0	-2754.454
freight_12_veh_carrier_12_heavyVehicle_0	heavy	1	freight_12_veh_carrier_12_heavyVehicle_0	-28220.0	39000.0	-4657.3420000000015
freight_10_veh_carrier_10_heavyVehicle_0	heavy	1	freight_10_veh_carrier_10_heavyVehicle_0	-27908.0	35000.0	-4922.3060000000005
freight_10_veh_carrier_10_heavyVehicle_2	heavy	1	freight_10_veh_carrier_10_heavyVehicle_2	-27912.0	39000.0	-3796.158000000002
freight_15_veh_carrier_15_heavyVehicle_3	heavy	1	freight_15_veh_carrier_15_heavyVehicle_3	-27710.0	31000.0	-3631.7500000000005
freight_10_veh_carrier_10_heavyVehicle_1	heavy	1	freight_10_veh_carrier_10_heavyVehicle_1	-23467.0	23000.0	-1889.902
freight_15_veh_carrier_15_heavyVehicle_4	heavy	1	freight_15_veh_carrier_15_heavyVehicle_4	-30649.0	47000.0	-5063.182000000001
freight_9_veh_carrier_9_heavyVehicle_0	heavy	9	freight_9_veh_carrier_9_heavyVehicle_0	-26621.0	35000.0	-2469.946000000001
freight_9_veh_carrier_9_heavyVehicle_1	heavy	9	freight_9_veh_carrier_9_heavyVehicle_1	-24580.0	31000.0	-2234.8380000000006
freight_9_veh_carrier_9_heavyVehicle_2	heavy	9	freight_9_veh_carrier_9_heavyVehicle_2	-26981.0	43000.0	-3380.586
freight_9_veh_carrier_9_heavyVehicle_3	heavy	9	freight_9_veh_carrier_9_heavyVehicle_3	-26069.0	35000.0	-4254.866000000001
freight_9_veh_carrier_9_heavyVehicle_4	heavy	9	freight_9_veh_carrier_9_heavyVehicle_4	-14081.0	27000.0	-867.8339999999998
freight_1_veh_carrier_1_heavyVehicle_0	heavy	1	freight_1_veh_carrier_1_heavyVehicle_0	-16694.0	31000.0	-2022.8780000000006
freight_10_veh_carrier_10_heavyVehicle_4	heavy	1	freight_10_veh_carrier_10_heavyVehicle_4	-22687.0	23000.0	-2306.318
freight_15_veh_carrier_15_heavyVehicle_1	heavy	1	freight_15_veh_carrier_15_heavyVehicle_1	-26270.0	31000.0	-2508.31
freight_1_veh_carrier_1_heavyVehicle_4	heavy	1	freight_1_veh_carrier_1_heavyVehicle_4	-29619.0	35000.0	-5108.450000000002
freight_10_veh_carrier_10_heavyVehicle_3	heavy	1	freight_10_veh_carrier_10_heavyVehicle_3	-24547.0	35000.0	-2273.8180000000007
freight_15_veh_carrier_15_heavyVehicle_2	heavy	1	freight_15_veh_carrier_15_heavyVehicle_2	-25124.0	31000.0	-2647.678
freight_1_veh_carrier_1_heavyVehicle_3	heavy	1	freight_1_veh_carrier_1_heavyVehicle_3	-29259.0	27000.0	-2545.0579999999995
